"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","DeMarcus Cousins",11200,"Sac@NO 08:00PM ET",50.574,"Sac"
"PF","Anthony Davis",9900,"Sac@NO 08:00PM ET",45.731,"NO"
"SG","Jimmy Butler",8800,"Chi@LAL 10:30PM ET",39.648,"Chi"
"C","Pau Gasol",8700,"Chi@LAL 10:30PM ET",40.274,"Chi"
"PG","Kyle Lowry",8600,"NY@Tor 08:00PM ET",42.306,"Tor"
"PG","Rajon Rondo",8400,"Sac@NO 08:00PM ET",40.924,"Sac"
"SF","Carmelo Anthony",8200,"NY@Tor 08:00PM ET",38.349,"NY"
"SG","DeMar DeRozan",8000,"NY@Tor 08:00PM ET",36.722,"Tor"
"C","Marc Gasol",7500,"Mil@Mem 08:00PM ET",35.060,"Mem"
"SG","Tyreke Evans",7400,"Sac@NO 08:00PM ET",34.210,"NO"
"PF","Kristaps Porzingis",7300,"NY@Tor 08:00PM ET",31.176,"NY"
"SG","Khris Middleton",7200,"Mil@Mem 08:00PM ET",31.096,"Mil"
"SF","Giannis Antetokounmpo",7100,"Mil@Mem 08:00PM ET",32.289,"Mil"
"C","Greg Monroe",7000,"Mil@Mem 08:00PM ET",35.617,"Mil"
"SF","Rudy Gay",6900,"Sac@NO 08:00PM ET",31.976,"Sac"
"PG","Jrue Holiday",6700,"Sac@NO 08:00PM ET",27.737,"NO"
"PG","Michael Carter-Williams",6500,"Mil@Mem 08:00PM ET",29.780,"Mil"
"PF","Ryan Anderson",6300,"Sac@NO 08:00PM ET",28.440,"NO"
"PG","Mike Conley",6200,"Mil@Mem 08:00PM ET",30.819,"Mem"
"C","Jonas Valanciunas",6100,"NY@Tor 08:00PM ET",28.348,"Tor"
"PG","Derrick Rose",6000,"Chi@LAL 10:30PM ET",26.730,"Chi"
"SG","Lou Williams",5900,"Chi@LAL 10:30PM ET",25.411,"LAL"
"PF","Julius Randle",5900,"Chi@LAL 10:30PM ET",27.011,"LAL"
"PF","Zach Randolph",5800,"Mil@Mem 08:00PM ET",27.524,"Mem"
"SF","Omri Casspi",5800,"Sac@NO 08:00PM ET",25.181,"Sac"
"PG","Jordan Clarkson",5700,"Chi@LAL 10:30PM ET",25.856,"LAL"
"PF","Taj Gibson",5500,"Chi@LAL 10:30PM ET",21.000,"Chi"
"SF","Derrick Williams",5500,"NY@Tor 08:00PM ET",16.511,"NY"
"SG","Kobe Bryant",5400,"Chi@LAL 10:30PM ET",27.875,"LAL"
"C","Joakim Noah",5400,"Chi@LAL 10:30PM ET",23.353,"Chi"
"PF","Nikola Mirotic",5300,"Chi@LAL 10:30PM ET",23.261,"Chi"
"PF","Jabari Parker",5300,"Mil@Mem 08:00PM ET",21.262,"Mil"
"SG","Arron Afflalo",5200,"NY@Tor 08:00PM ET",22.462,"NY"
"PG","Norris Cole",5100,"Sac@NO 08:00PM ET",17.806,"NO"
"C","Willie Cauley-Stein",5100,"Sac@NO 08:00PM ET",17.274,"Sac"
"PG","D'Angelo Russell",5100,"Chi@LAL 10:30PM ET",24.078,"LAL"
"SF","Tony Allen",5000,"Mil@Mem 08:00PM ET",17.500,"Mem"
"SF","Matt Barnes",4900,"Mil@Mem 08:00PM ET",21.767,"Mem"
"SF","Jeff Green",4900,"Mil@Mem 08:00PM ET",21.484,"Mem"
"PG","Mario Chalmers",4900,"Mil@Mem 08:00PM ET",21.128,"Mem"
"C","Robin Lopez",4900,"NY@Tor 08:00PM ET",21.048,"NY"
"SF","DeMarre Carroll",4800,"NY@Tor 08:00PM ET",23.261,"Tor"
"SG","Eric Gordon",4800,"Sac@NO 08:00PM ET",24.537,"NO"
"PF","Larry Nance Jr.",4700,"Chi@LAL 10:30PM ET",15.184,"LAL"
"PG","Darren Collison",4400,"Sac@NO 08:00PM ET",23.269,"Sac"
"PF","Luis Scola",4200,"NY@Tor 08:00PM ET",20.294,"Tor"
"PG","Aaron Brooks",4200,"Chi@LAL 10:30PM ET",14.838,"Chi"
"SG","O.J. Mayo",4200,"Mil@Mem 08:00PM ET",19.431,"Mil"
"PG","Jerryd Bayless",4200,"Mil@Mem 08:00PM ET",21.897,"Mil"
"PG","Jose Calderon",4100,"NY@Tor 08:00PM ET",19.505,"NY"
